RecordName,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,134
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,124
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,110
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,138
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,103
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,116
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,134
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,114
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,118
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,106
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,106
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,119
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,131
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,135
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,119
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,117
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,,,,5.3,44,119
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,139
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,
Observed Emission Missed,2021,Honda,Civic,Compact,2,,Manual,Gasoline,9.1,6.5,7.8,,133
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,116
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,128
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,107
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,117
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,139
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,120
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,144
Observed Emission Missed,2020,Toyota,Corolla,,1.8,4,,Gasoline,,6.7,7.5,31,122
Observed Emission Missed,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,137
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,123
Observed Emission Missed,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,111
Observed Emission Missed,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,110
Observed Emission Missed,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,,,,142
Observed Emission Missed,2021,Honda,Civic,,2,4,,Gasoline,9.1,6.5,7.8,30,146
Observed Emission Missed,2022,Ford,Escape,SUV,2.5,6,,Diesel,10.5,,,27,139
